term,estimate,std.error,statistic,p.value,conf.low,conf.high
stateNuevo Leon,0.9737084764159426,0.09102199042024296,-0.29271306357079385,0.7697414837572925,0.814935431054728,1.164439568083492
stateOaxaca,0.9172464251714769,0.07936297601009848,-1.088405670122078,0.27641605911519146,0.7850774757711663,1.0716177799687174
statePuebla,0.8641201320873285,0.07438358304010598,-1.9633832104727649,0.0496016632105213,0.7467704588637022,0.9996197606195948
stateQueretaro,0.7569268038244573,0.07891512372894298,-3.5289651653366647,4.1718804174993286e-4,0.6483867210424519,0.8834840372986356
stateQuintana Roo,0.8838647384547847,0.0840797302785757,-1.4682639732617135,0.1420325329474131,0.7496651757139345,1.0423911118803768
stateSan Luis Potosi,0.8056215910422139,0.08198272418759409,-2.6364229645253827,0.008378522217313507,0.686017699598059,0.9460739376829372
stateSinaloa,0.8713304759365279,0.08187717767291824,-1.6822020094538723,0.09252967461015017,0.7421558938478289,1.0230704804821975
stateSonora,1.1083139793395136,0.08642061324989284,1.1899929793347703,0.23404915146701086,0.9359323334330301,1.3134038990055437
stateTabasco,0.718757577729605,0.08203370989560364,-4.025554182765356,5.684128988145124e-5,0.6119473242500945,0.8440916216779252
stateTamaulipas,0.6901467091438681,0.08782353763864342,-4.222684396635611,2.4140974938015802e-5,0.5810044316840036,0.8198204416081446
stateTlaxcala,1.0113386980529735,0.08105298781208013,0.13910525878617563,0.8893669727208069,0.8628598463102924,1.1856269154409367
stateVeracruz de Ignacio de la Llave,1.061797755523047,0.08256774333035415,0.7262335738514741,0.4676955931903231,0.90327762335694906,1.248559767900666
stateYucatan,1.0046246105810728,0.08277641882301684,0.05573990745334247,0.9555490073543911,0.8542888123883761,1.1818123906534495
stateZacatecas,0.7905680517590831,0.07984272871584869,-2.943330505304633,0.003247015688467331,0.6759999464065363,0.9244668124125638
acceso_digital,1.050187719759171,0.0076102674486927015,6.43458712104723,1.2380940885816967e-10,1.0346458109886063,1.065976753184437
